cmd,speed
0.0,0.0
0.0,0.0
5.0,0.0
5.0,0.0
10.0,0.0
10.0,0.0
15.0,0.0
15.0,0.0
20.0,0.0
20.0,0.0
25.0,0.0
25.0,0.0
30.0,0.0
30.0,0.0
35.0,0.0
35.0,0.0
40.0,0.0
40.0,0.0
45.0,0.0
45.0,0.0
50.0,0.0
50.0,0.0
55.0,0.0
55.0,0.0
60.0,0.0
60.0,0.0
65.0,0.0
65.0,0.0
70.0,0.0
70.0,0.0
75.0,0.0
75.0,0.0
80.0,0.0
80.0,0.0
0.0,0.2
0.0,0.2
5.0,0.2
5.0,0.2
10.0,0.2
10.0,0.2
15.0,0.2
15.0,0.2
20.0,0.2
20.0,0.2
25.0,0.2
25.0,0.2
30.0,0.2
30.0,0.2
35.0,0.2
35.0,0.2
40.0,0.2
40.0,0.2
45.0,0.2
45.0,0.2
50.0,0.2
50.0,0.2
55.0,0.2
55.0,0.2
60.0,0.2
60.0,0.2
65.0,0.2
65.0,0.2
70.0,0.2
70.0,0.2
75.0,0.2
75.0,0.2
80.0,0.2
80.0,0.2
0.0,0.4
0.0,0.4
5.0,0.4
5.0,0.4
10.0,0.4
10.0,0.4
15.0,0.4
15.0,0.4
20.0,0.4
20.0,0.4
25.0,0.4
25.0,0.4
30.0,0.4
30.0,0.4
35.0,0.4
35.0,0.4
40.0,0.4
40.0,0.4
45.0,0.4
45.0,0.4
50.0,0.4
50.0,0.4
55.0,0.4
55.0,0.4
60.0,0.4
60.0,0.4
65.0,0.4
65.0,0.4
70.0,0.4
70.0,0.4
75.0,0.4
75.0,0.4
80.0,0.4
80.0,0.4
0.0,0.6000000000000001
0.0,0.6000000000000001
5.0,0.6000000000000001
5.0,0.6000000000000001
10.0,0.6000000000000001
10.0,0.6000000000000001
15.0,0.6000000000000001
15.0,0.6000000000000001
20.0,0.6000000000000001
20.0,0.6000000000000001
25.0,0.6000000000000001
25.0,0.6000000000000001
30.0,0.6000000000000001
30.0,0.6000000000000001
35.0,0.6000000000000001
35.0,0.6000000000000001
40.0,0.6000000000000001
40.0,0.6000000000000001
45.0,0.6000000000000001
45.0,0.6000000000000001
50.0,0.6000000000000001
50.0,0.6000000000000001
55.0,0.6000000000000001
55.0,0.6000000000000001
60.0,0.6000000000000001
60.0,0.6000000000000001
65.0,0.6000000000000001
65.0,0.6000000000000001
70.0,0.6000000000000001
70.0,0.6000000000000001
